Code,Waarde,DatumVanaf,DatumTot,Toelichting
7018,Nicaragua,1832-01-01,9999-12-31,
7020,Pakistan,1832-01-01,9999-12-31,
7021,Senegal,1832-01-01,9999-12-31,
7023,Dahomey,1832-01-01,1975-11-30,
7024,Bulgarije,1832-01-01,9999-12-31,
7026,Maleisië,1963-09-16,9999-12-31,
7027,Dominicaanse Republiek,1832-01-01,9999-12-31,
7028,Polen,1832-01-01,9999-12-31,
7029,Rusland (oud),1832-01-01,1917-11-07,
7030,Britse Maagdeneilanden,1832-01-01,9999-12-31,
7031,Tanzania,1964-04-27,9999-12-31,
7032,El Salvador,1832-01-01,9999-12-31,
7033,Sri Lanka,1972-05-22,9999-12-31,
7034,Soedan,1832-01-01,9999-12-31,
7035,Japan,1832-01-01,9999-12-31,
7036,Hongkong,1832-01-01,1997-07-01,
7037,Panama,1832-01-01,9999-12-31,
7038,Uruguay,1832-01-01,9999-12-31,
7039,Ecuador,1832-01-01,9999-12-31,
7040,Guinee,1832-01-01,9999-12-31,
7041,Maldiven,1832-01-01,9999-12-31,
7042,Thailand,1832-01-01,9999-12-31,
7043,Libanon,1832-01-01,9999-12-31,
7044,Italië,1832-01-01,9999-12-31,
7045,Koeweit,1832-01-01,9999-12-31,
7046,India,1832-01-01,9999-12-31,
7047,Roemenië,1832-01-01,9999-12-31,
7048,Tsjecho-Slowakije,1832-01-01,1993-01-01,
7049,Peru,1832-01-01,9999-12-31,
7050,Portugal,1832-01-01,9999-12-31,
7051,Oman,1970-08-09,9999-12-31,
7052,Mongolië,1832-01-01,9999-12-31,
7053,Samoa,1997-07-04,9999-12-31,
7054,Verenigde Arabische Emiraten,1971-12-02,9999-12-31,
7055,Tibet,1832-01-01,9999-12-31,
7057,Nauru,1832-01-01,9999-12-31,
7058,Nederlands Nieuw-Guinea,1832-01-01,1962-10-01,
7059,Tanganyika,1832-01-01,1964-04-27,
7060,Palestina,1832-01-01,1948-05-14,
7062,Brits West-Indië,1832-01-01,1962-02-01,
7063,Portugees-Afrika,1832-01-01,1991-06-01,*
7064,Letland,1918-11-18,9999-12-31,
7065,Estland,1832-01-01,9999-12-31,
7066,Litouwen,1918-02-16,9999-12-31,
7067,Brits-Afrika,1832-01-01,1991-06-01,*
7068,Belgisch-Congo,1832-01-01,1960-06-30,
7070,Brits-Indië,1832-01-01,1947-08-15,
7071,Noord-Rhodesië,1832-01-01,1964-10-24,
7072,Zuid-Rhodesië,1832-01-01,1965-11-11,
7073,Saarland,1832-01-01,1991-06-01,*
7074,Frans Indochina,1832-01-01,1991-06-01,*
7075,Brits West-Borneo,1832-01-01,1963-09-16,
7076,Goudkust,1832-01-01,1957-03-06,
7077,Ras al-Khaimah,1832-01-01,1991-06-01,*
7079,Frans-Congo,1832-01-01,1960-08-15,
7080,Siam,1832-01-01,1991-06-01,*
7082,Brits Oost-Afrika,1832-01-01,1963-12-12,
7083,Brits Noord-Borneo,1832-01-01,1963-09-16,
7084,Bangladesh,1971-12-16,9999-12-31,
7085,Duitse Democratische Republiek,1949-10-07,1990-10-03,
7087,Madeira-eilanden,1832-01-01,9999-12-31,
7088,Amerikaanse Maagdeneilanden,1832-01-01,9999-12-31,
7089,Australische Salomonseilanden,1832-01-01,1975-09-16,
7091,Spaanse Sahara,1832-01-01,1976-02-26,
7092,Caymaneilanden,1832-01-01,9999-12-31,
7093,Caicoseilanden,1832-01-01,1991-06-01,*
7094,Turkseilanden,1832-01-01,1991-06-01,*
7095,Brits Antarctisch Territorium,1832-01-01,9999-12-31,
7096,Brits Indische Oceaanterritorium,1832-01-01,9999-12-31,
7097,Cookeilanden,1832-01-01,9999-12-31,
7098,Tokelau,1832-01-01,9999-12-31,
7099,Nieuw-Caledonië,1832-01-01,9999-12-31,
8000,Hawaii-eilanden,1832-01-01,1991-06-01,*
8001,Guam,1832-01-01,9999-12-31,
8002,Amerikaans-Samoa,1832-01-01,9999-12-31,
8003,Midway,1832-01-01,9999-12-31,
8004,Riukiu-eilanden,1832-01-01,1991-06-01,*
8005,Wake,1832-01-01,9999-12-31,
8006,Pacific-eilanden,1832-01-01,1991-06-01,*
8008,Grenada,1832-01-01,9999-12-31,
8009,Marianen,1832-01-01,9999-12-31,
8010,Cabinda,1832-01-01,1991-06-01,*
8011,Canton en Enderbury,1832-01-01,1991-06-01,*
8012,Christmaseiland,1832-01-01,9999-12-31,
8013,Cocoseilanden,1832-01-01,9999-12-31,
8014,Faeröer,1832-01-01,9999-12-31,
8015,Montserrat,1832-01-01,9999-12-31,
8016,Norfolk,1832-01-01,9999-12-31,
8017,Belize,1832-01-01,9999-12-31,
8018,Tasmanië,1832-01-01,1991-06-01,*
8019,Turks- en Caicoseilanden,1832-01-01,9999-12-31,
8020,Puerto Rico,1832-01-01,9999-12-31,
8021,Papoea-Nieuw-Guinea,1975-09-16,9999-12-31,
8022,Salomonseilanden,1978-07-07,9999-12-31,
8023,Benin,1975-11-30,9999-12-31,
8024,Vietnam,1832-01-01,9999-12-31,
8025,Kaapverdië,1832-01-01,9999-12-31,
8026,Seychellen,1832-01-01,9999-12-31,
